Language,Language-code,TotalRetweetsInThatLang,IDOfTweet,RetweetCount,Text
(Korean,ko,290862,765154185528561664,4559,RT @_UR_BLUE: 아 개씨발 누워있다가 숨막혔음 시발 미쳤냐???????????????????????????????? https://t.co/Kd6GFa7QGK)
(Korean,ko,290862,780021924084670465,4360,RT @inalliphant: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ https://t.co/hi76hosjA6)
(Korean,ko,290862,780357942151225345,4358,RT @CHA_NNNNN: #스타쇼360 본방사수.😏 https://t.co/awZXee216L)
(Korean,ko,290862,780248294052114434,4319,RT @CoTwo222: 건포도가 좆같은이유를 검색해봤는데 1.쿠키안에서 초콜렛인척한다 2.이 많은 건포도들이 와인이 될수있었음 3.포도학대임. 지금도 수많은 포도들이 땡볕에서 쪼들려가고 있습니다 4. 시발 왜 애초에 마른음식을 먹는거임? 건치킨먹는…)
(Korean,ko,290862,667912536637861891,4294,RT @rlagktjd6505: @hs_celina 이분 이름도 뭔가 장난 아니더라구요 https://t.co/jU0fBS1MO8)
(Korean,ko,290862,766985107190054912,4167,RT @2_SULL: '실망했겠네. 나락인 줄 알았어?' '...너라는 걸 알고 있었어.'  쓸쓸히 죽어가던 카라가 외롭지 않도록 곁을 지켜준 셋쇼마루와 죽어서야 자유로운 바람이 되어 사라진 카라. 아직도 볼때마다 우는 장면ㅠㅠ https://t.c…)
(Korean,ko,290862,779765045932679168,4143,RT @ozzing16: 알티한 거 너무 얘네였다 https://t.co/injlwcoytr)
(Korean,ko,290862,693076469682032640,4100,RT @9119km: 아이유가 따로 없네 https://t.co/yAawRXGP9M)
(Korean,ko,290862,780293914204917760,4079,RT @Official_IFNT: [#INFINITE] [스타캐스트] "세상 없는 다.크.비.글 "...인피니트)
(Korean,ko,290862,742914135466217473,3998,RT @obinnnnjj4s: 쉴드한국지부 상상하는거 너무나즐ㄹ겁다)
(Korean,ko,290862,744570625734283264,3949,RT @pist1212: 선 진짜 깔끔하게 잘따시는분들 넘 부럽다ㅠㅠ내가 잘 따는건 자캐 목밖에 없는데)
(Korean,ko,290862,779848822428082176,3941,RT @_waitress: 여성들은 생리를 할 필요가 없습니다 https://t.co/yMePWtcuC4 "여성이 매달 생리하는 것을 저주와 연관짓는 사람들에게는 [생리를 없애는 선택이 있다고] 상기시켜 주고자 한다. 나는 마법에 걸린 날보다는 부자…)
(Korean,ko,290862,780048605205831680,3457,RT @instiz: 왕따경험있거나 소극적이고 소심한 사람들이 대부분 갖고있는 사회공포증의 종류 https://t.co/nKKnA89Ejt (민 현님 글) https://t.co/o0c52Z14mH)
(Korean,ko,290862,769164081513107456,3399,RT @ghdpsdk12: 즐거운 슈왈츠로즈 만화 https://t.co/iAbNyXAi4b)
(Korean,ko,290862,777896006327296000,3316,RT @himin_0326: 방송에서 보기 불편한  김구라 전현무 탁재훈 유상무 장동민  좀 그만 나와라...제발.......)
(Korean,ko,290862,779861415641227265,3292,RT @SIX_PLUM: [RT추첨 우주시계한분★] 우주시계 3color 블랙/레드/블루  10개미만일시 6천500원)
(Korean,ko,290862,779871625420365824,3243,RT @HSangHyuk: 아침?점심?식사들은하셨는지? #먹방 #goodmorning #혁 #홍빈 의 #아점 https://t.co/k8QCjmxLXq)
(Korean,ko,290862,779948070528180224,3172,RT @suulggun: 전북익산고구마 10kg 팝니다...(저희부모님이 직접 농사진...) 호박고구마 이고 1box당 택배비 포함 35000원입니다! (도서산간지역 제외) (올해 고구마 모델은 저희집 강아지이며 2016 술꾼배 강아지콘테스트1위를…)
(Korean,ko,290862,780038978908987392,3156,RT @Kim_HangD: 장발남캐의 매력을 모르는거각꾼(ㅈ https://t.co/Mmr0TJubKo)
(Korean,ko,290862,780316241382694912,3098,RT @vkekekfr: 남장여자물 단골로 남장여주를 좋아해 혼란스러워하는 남자와 남장여주의 호의로 인해 여주를 좋아하게 되는 여자에게 자신이 여자임을 밝히는 남장여주...로 보고싶은거😌 https://t.co/qmOfY57FyZ)
(Korean,ko,290862,737406116473102336,3008,RT @bini665: [우시다이]  ...?!?! https://t.co/VDXI9IDqnw)
(Korean,ko,290862,780321219941838848,2908,RT @totheno1: 크리스피 크림에서 포켓몬 도넛 사먹어 봤다.캐릭터 재현도는 꽤 높은편? https://t.co/oEkFtLdmWK)
(Korean,ko,290862,780331285386436608,2898,RT @Wandava: 박근혜 정부)
